May 2025 Settlement Values,
S&P 500 (SET),4554
S&P 500 PM-Settled,4536.34
MSCI EAFE (MXS),2176.58
MSCI Emerging Markets (EFS),1014.58
Materials Select Sector Index (SISB),888.01
Communication Services Select Sector Index (SISC),342.65
Energy Select Sector Index (SISE),887.15
Industrials Select Sector Index (SISIN),1104.26
Financial Select Sector Index (SISM),434.6
Consumer Staples Select Sector Index (SISR),761.92
Real Estate Select Sector Index (SISRE),189.49
Technology Select Sector Index (SIST),1774.04
Utilities Select Sector Index (SISUT),693.45
Dow Jones (DJS),352.99
Health Care Select Sector Index (SISV),1376.73
Consumer Discretionary Select Sector Index (SISY),1728.37
Russell 1000 Index (RIR),2499.29
Russell 1000 Growth (RLR),2835.27
Russell 1000 Value (RVS),1599.12
Mini-SPX (XSP),453.63
Russell 2000 (RLS),1980.93
VIX Options (VRO),13.02
June 2023 Settlement Values,
INDEX,SETTLEMENT VALUE
VIX Options (VRO),13.44
S&P 100 (OEX),2060.01
S&P 500 Scored & Screened Index,395.18
S&P 500 (SET),4453.35
S&P 500 PM-Settled,4409.59
MSCI EAFE (MXS),2170.84
MSCI Emerging Markets (EFS),1030.03
Materials Select Sector Index (SISB),862.61
Communication Services Select Sector Index (SISC),338.45
Energy Select Sector Index (SISE),844.12
Industrials Select Sector Index (SISIN),1059.29
Financial Select Sector Index (SISM),412.43
Consumer Staples Select Sector Index (SISR),748.79
Real Estate Select Sector Index (SISRE),183.79
Technology Select Sector Index (SIST),1741.59
Utilities Select Sector Index (SISUT),676.48
Dow Jones (DJS),345.82
Health Care Select Sector Index (SISV),1332.06
Consumer Discretionary Select Sector Index (SISY),1678.3
Russell 1000 Index (RIR),2438.57
Russell 1000 Growth (RLR),2777.62
Russell 1000 Value (RVS),1553.32
Mini-SPX (XSP),440.96
Russell 2000 (RLS),1909.1
May 2023 Settlement Values,
INDEX,SETTLEMENT VALUE
S&P 100 (OEX),1939.83
S&P 500 Scored & Screened Index,372.99
S&P 500 (SET),4208.44
S&P 500 PM-Settled,4191.98
MSCI EAFE (MXS),2131.59
MSCI Emerging Markets (EFS),977.24
Materials Select Sector Index (SISB),833.41
Communication Services Select Sector Index (SISC),321.03
Energy Select Sector Index (SISE),833.04
Industrials Select Sector Index (SISIN),1003.88
Financial Select Sector Index (SISM),401.13
Consumer Staples Select Sector Index (SISR),763.48
Real Estate Select Sector Index (SISRE),177.52
Technology Select Sector Index (SIST),1584.4
Utilities Select Sector Index (SISUT),666.22
Dow Jones (DJS),335.86
Health Care Select Sector Index (SISV),1325.31
Consumer Discretionary Select Sector Index (SISY),1530.3
Russell 1000 Index (RIR),2302.41
Russell 1000 Growth (RLR),2572.02
Russell 1000 Value (RVS),1499.29
Mini-SPX (XSP),419.2
Russell 2000 (RLS),1801.3
VIX Options (VRO),17.12
April 2023 Settlement Values,
INDEX,SETTLEMENT VALUE
S&P 100 (OEX),1888.3
S&P 500 Scored & Screened Index,364.1
S&P 500 (SET),4135.47
S&P 500 PM-Settled,4133.52
MSCI EAFE (MXS),2146.26
MSCI Emerging Markets (EFS),980.74
Materials Select Sector Index (SISB),855.8
Communication Services Select Sector Index (SISC),301.56
Energy Select Sector Index (SISE),894.42
Industrials Select Sector Index (SISIN),1014.64
Financial Select Sector Index (SISM),409.44
Consumer Staples Select Sector Index (SISR),771.08
Real Estate Select Sector Index (SISRE),182.5
Technology Select Sector Index (SIST),1488.47
Utilities Select Sector Index (SISUT),705.37
Dow Jones (DJS),338.4
Health Care Select Sector Index (SISV),1356.71
Consumer Discretionary Select Sector Index (SISY),1489.46
Russell 1000 Index (RIR),2264.26
Russell 1000 Growth (RLR),2456.57
Russell 1000 Value (RVS),1521.6
Mini-SPX (XSP),413.35
Russell 2000 (RLS),1790.38
VIX Options (VRO),16.75
