May 2025 Settlement Values,
Dow Jones (DJS):,91.89
Russell 2000 (RLS):,421.18
Nasdaq 100 (NDS):,1320.26
September 2001 Settlement Values,
S&P 100 (OEX):,491.7
S&P 500 (SET):,939.57
Dow Jones (DJS):,81.21
Russell 2000 (RLS):,375.46
Nasdaq 100 (NDS):,1092.52
August 2001 Settlement Values,
S&P 100 (OEX):,593.87
S&P 500 (SET):,1171.5
Dow Jones (DJS):,103.77
Russell 2000 (RLS):,478.75
Nasdaq 100 (NDS):,1543.12
July 2001 Settlement Values,
S&P 100 (OEX):,625.59
S&P 500 (SET):,1208.29
Dow Jones (DJS):,105.69
Russell 2000 (RLS):,485.27
Nasdaq 100 (NDS):,1664.32
June 2001 Settlement Values,
S&P 100 (OEX):,626.63
S&P 500 (SET):,1206.88
Dow Jones (DJS):,106.53
Russell 2000 (RLS):,493.78
Nasdaq 100 (NDS):,1678.01
May 2001 Settlement Values,
S&P 100 (OEX):,668.38
S&P 500 (SET):,1288.23
Dow Jones (DJS):,112.61
Russell 2000 (RLS):,503.53
Nasdaq 100 (NDS):,*1908.85
April 2001 Settlement Values,
S&P 100 (OEX):,643.66
S&P 500 (SET):,1248.65
Dow Jones (DJS):,106.21
Russell 2000 (RLS):,470.05
Nasdaq 100 (NDS):,1930.36
March 2001 Settlement Values,
S&P 100 (OEX):,587.99
S&P 500 (SET):,1156.28
Dow Jones (DJS):,99.64
Russell 2000 (RLS):,453.47
Nasdaq 100 (NDS):,1663.95
February 2001 Settlement Values,
S&P 100 (OEX):,675.42
S&P 500 (SET):,1300.78
Dow Jones (DJS):,108.01
Russell 2000 (RLS):,503.66
Nasdaq 100 (NDS):,2227.85
January 2001 Settlement Values,
S&P 100 (OEX):,705.23
S&P 500 (SET):,1352.07
Dow Jones (DJS):,106.46
Russell 2000 (RLS):,495.07
Nasdaq 100 (NDS):,2734.85
December 2000 Settlement Values,
S&P 100 (OEX):,689.48
S&P 500 (SET):,1318.25
Dow Jones (DJS):,105.24
Russell 2000 (RLS):,458.59
Nasdaq 100 (NDS):,2583.28
November 2000 Settlement Values,
S&P 100 (OEX):,725.09
S&P 500 (SET):,1371.18
Dow Jones (DJS):,106.57
Russell 2000 (RLS):,486.77
Nasdaq 100 (NDS):,2937.37
October 2000 Settlement Values,
S&P 100 (OEX):,738.16
S&P 500 (SET):,1379.85
Dow Jones (DJS):,100.5
Russell 2000 (RLS):,481.69
Nasdaq 100 (NDS):,3384.13
September 2000 Settlement Values,
S&P 100 (OEX):,789.77
S&P 500 (SET):,1480.93
Dow Jones (DJS):,111.13
Russell 2000 (RLS):,531.87
Nasdaq 100 (NDS):,3742.51
August 2000 Settlement Values,
S&P 100 (OEX):,813.64
S&P 500 (SET):,1497.25
Dow Jones (DJS):,110.9
Russell 2000 (RLS):,*517.10
Nasdaq 100 (NDS):,3849.68
July 2000 Settlement Values,
S&P 100 (OEX):,804.55
S&P 500 (SET):,1491.78
Dow Jones (DJS):,108.48
Russell 2000 (RLS):,532.63
Nasdaq 100 (NDS):,3947.99
June 2000 Settlement Values,
S&P 100 (OEX):,788.74
S&P 500 (SET):,1475.44
Dow Jones (DJS):,107.07
Russell 2000 (RLS):,515.15
Nasdaq 100 (NDS):,3800.8
May 2000 Settlement Values,
S&P 100 (OEX):,752.95
S&P 500 (SET):,1417.81
Dow Jones (DJS):,106.63
Russell 2000 (RLS):,487.35
Nasdaq 100 (NDS):,3362.72
April 2000 Settlement Values,
S&P 100 (OEX):,777.12
S&P 500 (SET):,1430.61
Dow Jones (DJS):,106.83
Russell 2000 (RLS):,489.42
Nasdaq 100 (NDS):,3608.88
March 2000 Settlement Values,
S&P 100 (OEX):,786.74
S&P 500 (SET):,1451.48
Dow Jones (DJS):,105.63
Russell 2000 (RLS):,*564.62
Nasdaq 100 (NDS):,4345.18
February 2000 Settlement Values,
S&P 100 (OEX):,728.52
S&P 500 (SET):,1385.28
Dow Jones (DJS):,104.92
Russell 2000 (RLS):,560.22
Nasdaq 100 (NDS):,4133.2
January 2000 Settlement Values,
S&P 100 (OEX):,779.78
S&P 500 (SET):,1460.42
Dow Jones (DJS):,114.32
Russell 2000 (RLS):,529.56
Nasdaq 100 (NDS):,3883.53
December 1999 Settlement Values,
S&P 100 (OEX):,773.93
S&P 500 (SET):,1429.73
Dow Jones (DJS):,113.27
Russell 2000 (RLS):,469.37
Nasdaq 100 (NDS):,3429.91
November 1999 Settlement Values,
S&P 100 (OEX):,749.3
S&P 500 (SET):,1420.19
Dow Jones (DJS):,109.93
Russell 2000 (RLS):,463.23
Nasdaq 100 (NDS):,3013.64
October 1998 Settlement Values,
S&P 100 (OEX):,651.75
S&P 500 (SET):,1267.13
Dow Jones (DJS):,101.81
Russell 2000 (RLS):,414.01
Nasdaq 100 (NDS):,2413.15
September 1999 Settlement Values,
S&P 100 (OEX):,704.96
S&P 500 (SET):,1326.13
Dow Jones (DJS):,108.6
Russell 2000 (RLS):,431.61
Nasdaq 100 (NDS):,2489.38
August 1999 Settlement Values,
S&P 100 (OEX):,696.59
S&P 500 (SET):,1328.94
Dow Jones (DJS):,110.04
Russell 2000 (RLS):,433.22
Nasdaq 100 (NDS):,2292.18
July 1999 Settlement Values,
S&P 100 (OEX):,733.79
S&P 500 (SET):,1410.78
Dow Jones (DJS):,111.89
Russell 2000 (RLS):,464.53
Nasdaq 100 (NDS):,2444.6
June 1999 Settlement Values,
S&P 100 (OEX):,683.47
S&P 500 (SET):,1335.82
Dow Jones (DJS):,108.85
Russell 2000 (RLS):,447.45
Nasdaq 100 (NDS):,2160.4
May 1999 Settlement Values,
S&P 100 (OEX):,671.76
S&P 500 (SET):,1339.44
Dow Jones (DJS):,108.79
Russell 2000 (RLS):,449.96
Nasdaq 100 (NDS):,2150.18
April 1999 Settlement Values,
S&P 100 (OEX):,*668.65
S&P 500 (SET):,1324.15
Dow Jones (DJS):,104.97
Russell 2000 (RLS):,418.78
Nasdaq 100 (NDS):,2142.58
March 1999 Settlement Values,
S&P 100 (OEX):,650.11
S&P 500 (SET):,1325.65
Dow Jones (DJS):,101.08
Russell 2000 (RLS):,398.69
(NEW) Nasdaq 100 (NDS):,2121.04
(OLD) Nasdaq 100 (NDS):,2134.85
February 1999 Settlement Values,
S&P 100 (OEX):,620.29
S&P 500 (SET):,1235.51
Dow Jones (DJS):,92.85
Russell 2000 (RLS):,393.23
(NEW) Nasdaq 100 (NDS):,1922.2
January 1999 Settlement Values,
S&P 100 (OEX):,616.46
S&P 500 (SET):,1223.64
Dow Jones (DJS):,92.01
Russell 2000 (RLS):,419.81
(NEW) Nasdaq 100 (NDS):,1920.02
(OLD) Nasdaq 100 (NDS):,1912.26
December 1998 Settlement Values,
S&P 100 (OEX):,589.84
S&P 500 (SET):,1180.28
Dow Jones (DJS):,89.03
Russell 2000 (RLS):,394.92
Nasdaq 100 (NDS):,1703.02
November 1998 Settlement Values,
S&P 100 (OEX):,574.97
S&P 500 (SET):,1162.55
Dow Jones (DJS):,91.3
Russell 2000 (RLS):,394.37
Nasdaq 100 (NDS):,1554.31
October 1998 Settlement Values,
S&P 100 (OEX):,520.95
S&P 500 (SET):,1061.19
Dow Jones (DJS):,83.85
Russell 2000 (RLS):,336.44
Nasdaq 100 (NDS):,1313.65
September 1998 Settlement Values,
S&P 100 (OEX):,495.25
S&P 500 (SET):,1020.88
Dow Jones (DJS):,79.43
Russell 2000 (RLS):,361.58
Nasdaq 100 (NDS):,1299.44
August 1998 Settlement Values,
S&P 100 (OEX):,534.19
S&P 500 (SET):,1080.24
Dow Jones (DJS):,85.37
Russell 2000 (RLS):,400.43
Nasdaq 100 (NDS):,1379.19
July 1998 Settlement Values,
S&P 100 (OEX):,581.34
S&P 500 (SET):,1185.74
Dow Jones (DJS):,93.32
Russell 2000 (RLS):,464.35
Nasdaq 100 (NDS):,1456.24
June 1998 Settlement Values,
S&P 100 (OEX):,535.48
S&P 500 (SET):,1107.84
Dow Jones (DJS):,88.45
Russell 2000 (RLS):,439.25
Nasdaq 100 (NDS):,1241
May 1998 Settlement Values,
S&P 100 (OEX):,538.45
S&P 500 (SET):,1118.15
Dow Jones (DJS):,91.68
Russell 2000 (RLS):,475.87
Nasdaq 100 (NDS):,1268.63
April 1998 Settlement Values,
S&P 100 (OEX):,542.87
S&P 500 (SET):,1109.76
Dow Jones (DJS):,90.99
Russell 2000 (RLS):,483.46
Nasdaq 100 (NDS):,1222.21
